Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16448576k(6475844k free), swap 33225792k(10615604k free)
CommandLine flags: -XX:InitialHeapSize=209715200 -XX:MaxHeapSize=209715200 -XX:MaxNewSize=104857600 -XX:MaxTenuringThreshold=15 -XX:NewSize=104857600 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=3145728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
45.345: [GC (Allocation Failure) 45.348: [ParNew: 81903K->1108K(92160K), 0.0038511 secs] 81903K->1108K(194560K), 0.0074330 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
61.371: [GC (Allocation Failure) 61.371: [ParNew: 82993K->1554K(92160K), 0.0029850 secs] 82993K->1554K(194560K), 0.0031338 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.388: [GC (Allocation Failure) 77.388: [ParNew: 83399K->1887K(92160K), 0.0025366 secs] 83399K->1887K(194560K), 0.0026913 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
93.403: [GC (Allocation Failure) 93.403: [ParNew: 83798K->1689K(92160K), 0.0025236 secs] 83798K->1689K(194560K), 0.0026756 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
110.416: [GC (Allocation Failure) 110.416: [ParNew: 83609K->1422K(92160K), 0.0025031 secs] 83609K->1422K(194560K), 0.0026341 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
126.434: [GC (Allocation Failure) 126.434: [ParNew: 83342K->1655K(92160K), 0.0024494 secs] 83342K->1655K(194560K), 0.0025788 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
142.450: [GC (Allocation Failure) 142.450: [ParNew: 83575K->1622K(92160K), 0.0015837 secs] 83575K->1622K(194560K), 0.0016867 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
158.463: [GC (Allocation Failure) 158.463: [ParNew: 83506K->1578K(92160K), 0.0025891 secs] 83506K->1578K(194560K), 0.0027300 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
174.476: [GC (Allocation Failure) 174.476: [ParNew: 83498K->1828K(92160K), 0.0026081 secs] 83498K->1828K(194560K), 0.0027766 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
190.492: [GC (Allocation Failure) 190.492: [ParNew: 83748K->1197K(92160K), 0.0025942 secs] 83748K->1197K(194560K), 0.0027458 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
206.513: [GC (Allocation Failure) 206.513: [ParNew: 83117K->1579K(92160K), 0.0024391 secs] 83117K->1579K(194560K), 0.0025781 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
223.528: [GC (Allocation Failure) 223.528: [ParNew: 83499K->1567K(92160K), 0.0024794 secs] 83499K->1567K(194560K), 0.0026459 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
239.548: [GC (Allocation Failure) 239.548: [ParNew: 83487K->1672K(92160K), 0.0009951 secs] 83487K->1672K(194560K), 0.0010753 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
255.565: [GC (Allocation Failure) 255.565: [ParNew: 83592K->1376K(92160K), 0.0023013 secs] 83592K->1376K(194560K), 0.0024529 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
271.580: [GC (Allocation Failure) 271.580: [ParNew: 83296K->1573K(92160K), 0.0024348 secs] 83296K->1573K(194560K), 0.0025958 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
287.602: [GC (Allocation Failure) 287.602: [ParNew: 83493K->0K(92160K), 0.0102127 secs] 83493K->1075K(194560K), 0.0103667 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
303.624: [GC (Allocation Failure) 303.624: [ParNew: 81920K->0K(92160K), 0.0026791 secs] 82995K->1075K(194560K), 0.0028121 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
319.640: [GC (Allocation Failure) 319.640: [ParNew: 81920K->0K(92160K), 0.0004516 secs] 82995K->1075K(194560K), 0.0005151 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
336.653: [GC (Allocation Failure) 336.653: [ParNew: 81920K->0K(92160K), 0.0004954 secs] 82995K->1075K(194560K), 0.0005736 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
352.664: [GC (Allocation Failure) 352.664: [ParNew: 81920K->0K(92160K), 0.0009071 secs] 82995K->1075K(194560K), 0.0010741 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
368.677: [GC (Allocation Failure) 368.677: [ParNew: 81920K->0K(92160K), 0.0009079 secs] 82995K->1075K(194560K), 0.0010204 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
384.703: [GC (Allocation Failure) 384.703: [ParNew: 81920K->0K(92160K), 0.0009047 secs] 82995K->1075K(194560K), 0.0010275 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
400.717: [GC (Allocation Failure) 400.717: [ParNew: 81920K->0K(92160K), 0.0004105 secs] 82995K->1075K(194560K), 0.0004737 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
416.730: [GC (Allocation Failure) 416.730: [ParNew: 81920K->0K(92160K), 0.0009040 secs] 82995K->1075K(194560K), 0.0010105 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
433.741: [GC (Allocation Failure) 433.741: [ParNew: 81870K->0K(92160K), 0.0005191 secs] 82945K->1075K(194560K), 0.0005850 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
449.754: [GC (Allocation Failure) 449.754: [ParNew: 81920K->0K(92160K), 0.0009738 secs] 82995K->1075K(194560K), 0.0011033 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
465.769: [GC (Allocation Failure) 465.769: [ParNew: 81920K->0K(92160K), 0.0009415 secs] 82995K->1075K(194560K), 0.0010611 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
481.779: [GC (Allocation Failure) 481.779: [ParNew: 81920K->0K(92160K), 0.0008751 secs] 82995K->1075K(194560K), 0.0009975 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
497.792: [GC (Allocation Failure) 497.792: [ParNew: 81920K->0K(92160K), 0.0008775 secs] 82995K->1075K(194560K), 0.0010050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
513.813: [GC (Allocation Failure) 513.813: [ParNew: 81920K->0K(92160K), 0.0008949 secs] 82995K->1075K(194560K), 0.0010319 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
529.825: [GC (Allocation Failure) 529.825: [ParNew: 81920K->0K(92160K), 0.0004978 secs] 82995K->1075K(194560K), 0.0005676 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
546.837: [GC (Allocation Failure) 546.837: [ParNew: 81920K->0K(92160K), 0.0004113 secs] 82995K->1075K(194560K), 0.0004753 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
562.849: [GC (Allocation Failure) 562.849: [ParNew: 81920K->0K(92160K), 0.0013046 secs] 82995K->1075K(194560K), 0.0014526 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
578.869: [GC (Allocation Failure) 578.869: [ParNew: 81920K->0K(92160K), 0.0003888 secs] 82995K->1075K(194560K), 0.0004638 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
