Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16448576k(6769704k free), swap 33225792k(10969356k free)
CommandLine flags: -XX:InitialHeapSize=314572800 -XX:MaxHeapSize=314572800 -XX:MaxNewSize=209715200 -XX:MaxTenuringThreshold=15 -XX:NewSize=209715200 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=20971520 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=2 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
31.394: [GC (Allocation Failure) 31.394: [ParNew: 100352K->11348K(153600K), 0.0115304 secs] 100352K->11348K(256000K), 0.0120001 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
32.420: [GC (Allocation Failure) 32.420: [ParNew: 105472K->11780K(153600K), 0.0073477 secs] 105472K->11780K(256000K), 0.0074811 secs] [Times: user=0.03 sys=0.02, real=0.01 secs] 
33.436: [GC (Allocation Failure) 33.436: [ParNew: 107903K->11993K(153600K), 0.0026361 secs] 107903K->11993K(256000K), 0.0027442 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
34.446: [GC (Allocation Failure) 34.446: [ParNew: 106085K->1338K(153600K), 0.0011396 secs] 106085K->1338K(256000K), 0.0012190 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
35.456: [GC (Allocation Failure) 35.456: [ParNew: 95456K->11871K(153600K), 0.0039237 secs] 95456K->11871K(256000K), 0.0040264 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
36.473: [GC (Allocation Failure) 36.473: [ParNew: 106005K->22168K(153600K), 0.0074705 secs] 106005K->22168K(256000K), 0.0075640 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
37.486: [GC (Allocation Failure) 37.486: [ParNew: 116313K->32566K(153600K), 0.0131461 secs] 116313K->32566K(256000K), 0.0132199 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
39.506: [GC (Allocation Failure) 39.506: [ParNew: 126718K->0K(153600K), 0.0047693 secs] 126718K->1129K(256000K), 0.0048537 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
40.517: [GC (Allocation Failure) 40.517: [ParNew: 94156K->10240K(153600K), 0.0018699 secs] 95285K->11369K(256000K), 0.0019520 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
41.525: [GC (Allocation Failure) 41.525: [ParNew: 104399K->10240K(153600K), 0.0018498 secs] 105528K->11369K(256000K), 0.0019299 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
42.537: [GC (Allocation Failure) 42.537: [ParNew: 104401K->10240K(153600K), 0.0036774 secs] 105530K->11369K(256000K), 0.0038239 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
43.557: [GC (Allocation Failure) 43.557: [ParNew: 104402K->0K(153600K), 0.0009040 secs] 105531K->1129K(256000K), 0.0010362 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
44.573: [GC (Allocation Failure) 44.574: [ParNew: 94163K->10240K(153600K), 0.0042131 secs] 95292K->11369K(256000K), 0.0043769 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
45.593: [GC (Allocation Failure) 45.593: [ParNew: 104403K->20480K(153600K), 0.0075407 secs] 105532K->21609K(256000K), 0.0077026 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
