$ jstat -gc 120596 1000 1000
 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT
10240.0 10240.0  0.0    0.0   81920.0   8192.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   8192.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   8192.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   8192.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   8192.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   8192.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   8192.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   8192.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   8192.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  11892.8   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  16893.6   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  21894.4   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  26895.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  31896.0   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  36896.7   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  41897.5   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  46898.3   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  51899.1   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  56899.9   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  61900.6   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  66901.4   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  71902.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  76903.0   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  81903.8   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0   1108.3 81920.0   5073.4   102400.0     0.0     4864.0 3996.3 512.0  446.8       1    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1108.3 81920.0  10074.2   102400.0     0.0     4864.0 3996.3 512.0  446.8       1    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1108.3 81920.0  15075.0   102400.0     0.0     4864.0 3996.3 512.0  446.8       1    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1108.3 81920.0  20075.7   102400.0     0.0     4864.0 3996.3 512.0  446.8       1    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1108.3 81920.0  25076.5   102400.0     0.0     4864.0 3996.3 512.0  446.8       1    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1108.3 81920.0  30077.3   102400.0     0.0     4864.0 3996.3 512.0  446.8       1    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1108.3 81920.0  35078.1   102400.0     0.0     4864.0 3996.3 512.0  446.8       1    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1108.3 81920.0  40078.9   102400.0     0.0     4864.0 3996.3 512.0  446.8       1    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1108.3 81920.0  45079.6   102400.0     0.0     4864.0 3996.3 512.0  446.8       1    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1108.3 81920.0  50080.4   102400.0     0.0     4864.0 3996.3 512.0  446.8       1    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1108.3 81920.0  55081.2   102400.0     0.0     4864.0 3996.3 512.0  446.8       1    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1108.3 81920.0  60082.0   102400.0     0.0     4864.0 3996.3 512.0  446.8       1    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1108.3 81920.0  65082.8   102400.0     0.0     4864.0 3996.3 512.0  446.8       1    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1108.3 81920.0  70083.5   102400.0     0.0     4864.0 3996.3 512.0  446.8       1    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1108.3 81920.0  75084.3   102400.0     0.0     4864.0 3996.3 512.0  446.8       1    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1108.3 81920.0  80085.1   102400.0     0.0     4864.0 3996.3 512.0  446.8       1    0.004   0      0.000    0.004
10240.0 10240.0 1554.2  0.0   81920.0   4933.6   102400.0     0.0     4864.0 3996.7 512.0  446.8       2    0.007   0      0.000    0.007
10240.0 10240.0 1554.2  0.0   81920.0   9934.3   102400.0     0.0     4864.0 3996.7 512.0  446.8       2    0.007   0      0.000    0.007
10240.0 10240.0 1554.2  0.0   81920.0  14935.1   102400.0     0.0     4864.0 3996.7 512.0  446.8       2    0.007   0      0.000    0.007
10240.0 10240.0 1554.2  0.0   81920.0  19935.9   102400.0     0.0     4864.0 3996.7 512.0  446.8       2    0.007   0      0.000    0.007
10240.0 10240.0 1554.2  0.0   81920.0  24936.7   102400.0     0.0     4864.0 3996.7 512.0  446.8       2    0.007   0      0.000    0.007
10240.0 10240.0 1554.2  0.0   81920.0  29937.5   102400.0     0.0     4864.0 3996.7 512.0  446.8       2    0.007   0      0.000    0.007
10240.0 10240.0 1554.2  0.0   81920.0  34938.2   102400.0     0.0     4864.0 3996.7 512.0  446.8       2    0.007   0      0.000    0.007
10240.0 10240.0 1554.2  0.0   81920.0  39939.0   102400.0     0.0     4864.0 3996.7 512.0  446.8       2    0.007   0      0.000    0.007
10240.0 10240.0 1554.2  0.0   81920.0  44939.8   102400.0     0.0     4864.0 3996.7 512.0  446.8       2    0.007   0      0.000    0.007
10240.0 10240.0 1554.2  0.0   81920.0  49940.6   102400.0     0.0     4864.0 3996.7 512.0  446.8       2    0.007   0      0.000    0.007
10240.0 10240.0 1554.2  0.0   81920.0  54941.4   102400.0     0.0     4864.0 3996.7 512.0  446.8       2    0.007   0      0.000    0.007
10240.0 10240.0 1554.2  0.0   81920.0  59942.1   102400.0     0.0     4864.0 3996.7 512.0  446.8       2    0.007   0      0.000    0.007
10240.0 10240.0 1554.2  0.0   81920.0  64942.9   102400.0     0.0     4864.0 3996.7 512.0  446.8       2    0.007   0      0.000    0.007
10240.0 10240.0 1554.2  0.0   81920.0  69943.7   102400.0     0.0     4864.0 3996.7 512.0  446.8       2    0.007   0      0.000    0.007
10240.0 10240.0 1554.2  0.0   81920.0  74944.5   102400.0     0.0     4864.0 3996.7 512.0  446.8       2    0.007   0      0.000    0.007
10240.0 10240.0 1554.2  0.0   81920.0  79945.3   102400.0     0.0     4864.0 3996.7 512.0  446.8       2    0.007   0      0.000    0.007
10240.0 10240.0  0.0   1887.9 81920.0   3198.2   102400.0     0.0     4864.0 3996.8 512.0  446.8       3    0.009   0      0.000    0.009
10240.0 10240.0  0.0   1887.9 81920.0   8199.0   102400.0     0.0     4864.0 3996.8 512.0  446.8       3    0.009   0      0.000    0.009
10240.0 10240.0  0.0   1887.9 81920.0  13199.8   102400.0     0.0     4864.0 3996.8 512.0  446.8       3    0.009   0      0.000    0.009
10240.0 10240.0  0.0   1887.9 81920.0  18200.6   102400.0     0.0     4864.0 3996.8 512.0  446.8       3    0.009   0      0.000    0.009
10240.0 10240.0  0.0   1887.9 81920.0  23201.3   102400.0     0.0     4864.0 3996.8 512.0  446.8       3    0.009   0      0.000    0.009
10240.0 10240.0  0.0   1887.9 81920.0  28202.1   102400.0     0.0     4864.0 3996.8 512.0  446.8       3    0.009   0      0.000    0.009
10240.0 10240.0  0.0   1887.9 81920.0  33202.9   102400.0     0.0     4864.0 3996.8 512.0  446.8       3    0.009   0      0.000    0.009
10240.0 10240.0  0.0   1887.9 81920.0  38203.7   102400.0     0.0     4864.0 3996.8 512.0  446.8       3    0.009   0      0.000    0.009
10240.0 10240.0  0.0   1887.9 81920.0  43204.5   102400.0     0.0     4864.0 3996.8 512.0  446.8       3    0.009   0      0.000    0.009
10240.0 10240.0  0.0   1887.9 81920.0  48205.2   102400.0     0.0     4864.0 3996.8 512.0  446.8       3    0.009   0      0.000    0.009
10240.0 10240.0  0.0   1887.9 81920.0  53206.0   102400.0     0.0     4864.0 3996.8 512.0  446.8       3    0.009   0      0.000    0.009
10240.0 10240.0  0.0   1887.9 81920.0  58206.8   102400.0     0.0     4864.0 3996.8 512.0  446.8       3    0.009   0      0.000    0.009
10240.0 10240.0  0.0   1887.9 81920.0  63207.6   102400.0     0.0     4864.0 3996.8 512.0  446.8       3    0.009   0      0.000    0.009
10240.0 10240.0  0.0   1887.9 81920.0  68208.4   102400.0     0.0     4864.0 3996.8 512.0  446.8       3    0.009   0      0.000    0.009
10240.0 10240.0  0.0   1887.9 81920.0  73209.1   102400.0     0.0     4864.0 3996.8 512.0  446.8       3    0.009   0      0.000    0.009
10240.0 10240.0  0.0   1887.9 81920.0  78209.9   102400.0     0.0     4864.0 3996.8 512.0  446.8       3    0.009   0      0.000    0.009
10240.0 10240.0 1689.7  0.0   81920.0   1811.5   102400.0     0.0     4864.0 3996.8 512.0  446.8       4    0.012   0      0.000    0.012
10240.0 10240.0 1689.7  0.0   81920.0   6945.8   102400.0     0.0     4864.0 3996.8 512.0  446.8       4    0.012   0      0.000    0.012
10240.0 10240.0 1689.7  0.0   81920.0  12080.1   102400.0     0.0     4864.0 3996.8 512.0  446.8       4    0.012   0      0.000    0.012
10240.0 10240.0 1689.7  0.0   81920.0  17214.5   102400.0     0.0     4864.0 3996.8 512.0  446.8       4    0.012   0      0.000    0.012
10240.0 10240.0 1689.7  0.0   81920.0  22348.8   102400.0     0.0     4864.0 3996.8 512.0  446.8       4    0.012   0      0.000    0.012
10240.0 10240.0 1689.7  0.0   81920.0  27483.1   102400.0     0.0     4864.0 3996.8 512.0  446.8       4    0.012   0      0.000    0.012
10240.0 10240.0 1689.7  0.0   81920.0  32617.5   102400.0     0.0     4864.0 3996.8 512.0  446.8       4    0.012   0      0.000    0.012
