$ jstat -gc 108936 1000 1000
 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT
51200.0 51200.0  0.0    0.0   102400.0  8192.1   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
51200.0 51200.0  0.0    0.0   102400.0  8192.1   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
51200.0 51200.0  0.0    0.0   102400.0  8192.1   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
51200.0 51200.0  0.0    0.0   102400.0  8192.1   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
51200.0 51200.0  0.0    0.0   102400.0 18432.1   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
51200.0 51200.0  0.0    0.0   102400.0 90112.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
51200.0 51200.0  0.0   11348.1 102400.0 73644.5   102400.0     0.0     4864.0 3996.8 512.0  446.8       1    0.011   0      0.000    0.011
51200.0 51200.0 11780.7  0.0   102400.0 65403.1   102400.0     0.0     4864.0 3997.2 512.0  446.8       2    0.019   0      0.000    0.019
51200.0 51200.0  0.0   11993.3 102400.0 53132.1   102400.0     0.0     4864.0 3997.3 512.0  446.8       3    0.021   0      0.000    0.021
51200.0 51200.0 1338.7  0.0   102400.0 42918.0   102400.0     0.0     4864.0 3997.3 512.0  446.8       4    0.023   0      0.000    0.023
51200.0 51200.0  0.0   11871.2 102400.0 32694.6   102400.0     0.0     4864.0 3997.3 512.0  446.8       5    0.026   0      0.000    0.026
51200.0 51200.0 22168.4  0.0   102400.0 22465.2   102400.0     0.0     4864.0 3997.3 512.0  446.8       6    0.034   0      0.000    0.034
51200.0 51200.0  0.0   32566.3 102400.0 10240.0   102400.0     0.0     4864.0 3997.3 512.0  446.8       7    0.047   0      0.000    0.047
51200.0 51200.0  0.0   32566.3 102400.0 94152.2   102400.0     0.0     4864.0 3997.3 512.0  446.8       7    0.047   0      0.000    0.047
51200.0 51200.0  0.0    0.0   102400.0 83916.6   102400.0    1129.2   4864.0 3997.3 512.0  446.8       8    0.052   0      0.000    0.052
51200.0 51200.0  0.0   10240.0 102400.0 73679.4   102400.0    1129.2   4864.0 3997.3 512.0  446.8       9    0.054   0      0.000    0.054
51200.0 51200.0 10240.0  0.0   102400.0 63441.2   102400.0    1129.2   4864.0 3997.3 512.0  446.8      10    0.056   0      0.000    0.056
51200.0 51200.0  0.0   10240.0 102400.0 53202.4   102400.0    1129.2   4864.0 3997.3 512.0  446.8      11    0.059   0      0.000    0.059
51200.0 51200.0  0.0    0.0   102400.0 42963.1   102400.0    1129.2   4864.0 3997.3 512.0  446.8      12    0.060   0      0.000    0.060
51200.0 51200.0  0.0   10240.0 102400.0 32723.6   102400.0    1129.2   4864.0 3997.3 512.0  446.8      13    0.064   0      0.000    0.064
51200.0 51200.0 20480.0  0.0   102400.0 22483.9   102400.0    1129.2   4864.0 3997.3 512.0  446.8      14    0.072   0      0.000    0.072
51200.0 51200.0  0.0   30720.0 102400.0 10240.0   102400.0    1129.2   4864.0 3997.3 512.0  446.8      15    0.082   0      0.000    0.082
51200.0 51200.0  0.0   30720.0 102400.0 94164.2   102400.0    1129.2   4864.0 3997.3 512.0  446.8      15    0.082   0      0.000    0.082
