 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT
10240.0 10240.0  0.0    0.0   81920.0   8192.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   8192.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   8192.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   8192.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   8192.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   8192.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   8192.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   8192.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   8192.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   8192.2   102400.0     0.0     4480.0 770.4  384.0   75.9       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0   1103.1 81920.0  10240.0   102400.0   30722.1   4864.0 3996.0 512.0  446.8       1    0.020   0      0.000    0.020
10240.0 10240.0 1549.2  0.0   81920.0  23622.6   102400.0   51204.2   4864.0 3996.4 512.0  446.8       2    0.047   1      0.001    0.048
10240.0 10240.0  0.0   1504.6 81920.0  32247.1   102400.0   61444.2   4864.0 3996.5 512.0  446.8       3    0.059   1      0.001    0.060
10240.0 10240.0 1548.8  0.0   81920.0  42514.1   102400.0   30724.1   4864.0 3996.5 512.0  446.8       4    0.062   2      0.004    0.066
10240.0 10240.0  0.0   1615.8 81920.0  52771.5   102400.0   40964.2   4864.0 3996.5 512.0  446.8       5    0.066   2      0.004    0.070
10240.0 10240.0 1499.5  0.0   81920.0  63022.6   102400.0   51204.2   4864.0 3996.5 512.0  446.8       6    0.071   2      0.004    0.074
10240.0 10240.0  0.0   1547.5 81920.0  73269.8   102400.0   61444.2   4864.0 3996.5 512.0  446.8       7    0.075   3      0.005    0.079
10240.0 10240.0  0.0   1562.5 81920.0  10240.0   102400.0   40966.2   4864.0 3996.5 512.0  446.8       9    0.104   4      0.008    0.112
10240.0 10240.0 1563.2  0.0   81920.0  22079.2   102400.0   61446.2   4864.0 3996.5 512.0  446.8      10    0.112   5      0.009    0.120
10240.0 10240.0  0.0   1619.4 81920.0  32320.4   102400.0   30726.2   4864.0 3996.5 512.0  446.8      11    0.116   6      0.012    0.128
10240.0 10240.0 1750.5  0.0   81920.0  42561.2   102400.0   30726.2   4864.0 3996.5 512.0  446.8      12    0.119   6      0.012    0.131
10240.0 10240.0  0.0   1442.1 81920.0  52801.7   102400.0   40966.2   4864.0 3996.5 512.0  446.8      13    0.123   6      0.012    0.135
10240.0 10240.0 1413.0  0.0   81920.0  63042.1   102400.0   51206.2   4864.0 3996.5 512.0  446.8      14    0.125   6      0.012    0.137
10240.0 10240.0  0.0   1525.9 81920.0  73282.3   102400.0   61446.2   4864.0 3996.5 512.0  446.8      15    0.130   6      0.012    0.142
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   31766.3   4864.0 3996.5 512.0  446.8      17    0.145   8      0.027    0.172
10240.0 10240.0  0.0    0.0   81920.0  22082.5   102400.0   52248.4   4864.0 3996.5 512.0  446.8      18    0.153   8      0.027    0.179
10240.0 10240.0  0.0    0.0   81920.0  32322.5   102400.0   62488.4   4864.0 3996.5 512.0  446.8      19    0.156   9      0.030    0.187
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   62488.4   4864.0 3996.5 512.0  446.8      20    0.157   9      0.030    0.188
10240.0 10240.0  0.0    0.0   81920.0    0.0     102400.0   72728.4   4864.0 3996.5 512.0  446.8      21    0.160  10      0.031    0.190
10240.0 10240.0  0.0    0.0   81920.0    0.0     102400.0   82970.5   4864.0 3996.5 512.0  446.8      22    0.162  10      0.031    0.193
10240.0 10240.0  0.0    0.0   81920.0    0.0     102400.0   31770.4   4864.0 3996.5 512.0  446.8      23    0.166  11      0.033    0.199
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   31770.4   4864.0 3996.5 512.0  446.8      23    0.166  11      0.033    0.199
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   62490.5   4864.0 3996.5 512.0  446.8      25    0.177  12      0.033    0.210
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52250.5   4864.0 3996.5 512.0  446.8      26    0.180  13      0.035    0.215
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62490.5   4864.0 3996.5 512.0  446.8      27    0.182  14      0.035    0.217
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   11290.4   4864.0 3996.5 512.0  446.8      28    0.183  15      0.038    0.220
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   21530.4   4864.0 3996.5 512.0  446.8      29    0.185  15      0.038    0.223
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   31770.4   4864.0 3996.5 512.0  446.8      30    0.187  15      0.038    0.224
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   42010.4   4864.0 3996.5 512.0  446.8      31    0.189  15      0.038    0.227
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   72730.5   4864.0 3996.5 512.0  446.8      33    0.194  16      0.038    0.232
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   21526.3   4864.0 3996.5 512.0  446.8      34    0.194  17      0.047    0.241
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   31768.4   4864.0 3996.5 512.0  446.8      35    0.198  17      0.047    0.244
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31768.4   4864.0 3996.5 512.0  446.8      36    0.199  17      0.047    0.245
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   42008.4   4864.0 3996.5 512.0  446.8      37    0.203  17      0.047    0.250
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52248.4   4864.0 3996.5 512.0  446.8      38    0.207  17      0.047    0.254
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62490.5   4864.0 3996.5 512.0  446.8      39    0.211  17      0.047    0.257
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   31772.5   4864.0 3996.5 512.0  446.8      41    0.222  19      0.049    0.272
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52252.5   4864.0 3996.5 512.0  446.8      42    0.230  20      0.050    0.280
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62492.5   4864.0 3996.5 512.0  446.8      43    0.234  20      0.050    0.283
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31772.5   4864.0 3996.5 512.0  446.8      44    0.234  21      0.052    0.286
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   42012.5   4864.0 3996.5 512.0  446.8      45    0.238  21      0.052    0.290
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52252.5   4864.0 3996.5 512.0  446.8      46    0.243  21      0.052    0.295
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62492.5   4864.0 3996.5 512.0  446.8      47    0.247  21      0.052    0.299
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   31772.5   4864.0 3996.5 512.0  446.8      49    0.258  23      0.053    0.311
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52252.5   4864.0 3996.5 512.0  446.8      50    0.264  24      0.053    0.318
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62492.5   4864.0 3996.5 512.0  446.8      51    0.267  24      0.053    0.320
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31772.5   4864.0 3996.5 512.0  446.8      52    0.268  25      0.057    0.324
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   42012.5   4864.0 3996.5 512.0  446.8      53    0.271  25      0.057    0.328
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52252.5   4864.0 3996.5 512.0  446.8      54    0.275  25      0.057    0.332
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62492.5   4864.0 3996.5 512.0  446.8      55    0.279  25      0.057    0.336
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   31772.5   4864.0 3996.5 512.0  446.8      57    0.290  27      0.060    0.350
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52252.5   4864.0 3996.5 512.0  446.8      58    0.297  28      0.060    0.357
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62492.5   4864.0 3996.5 512.0  446.8      59    0.301  28      0.060    0.361
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31772.5   4864.0 3996.5 512.0  446.8      60    0.302  29      0.062    0.364
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   42012.5   4864.0 3996.5 512.0  446.8      61    0.306  29      0.062    0.368
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52252.5   4864.0 3996.5 512.0  446.8      62    0.308  29      0.062    0.371
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62492.5   4864.0 3996.5 512.0  446.8      63    0.312  29      0.062    0.375
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   31772.5   4864.0 3996.5 512.0  446.8      65    0.323  31      0.065    0.389
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52252.5   4864.0 3996.5 512.0  446.8      66    0.331  32      0.066    0.396
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62492.5   4864.0 3996.5 512.0  446.8      67    0.332  32      0.066    0.398
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31772.5   4864.0 3996.5 512.0  446.8      68    0.333  33      0.068    0.401
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   42012.5   4864.0 3996.5 512.0  446.8      69    0.336  33      0.068    0.404
10240.0 10240.0  0.0    0.0   81920.0  63042.7   102400.0   52252.5   4864.0 3996.5 512.0  446.8      70    0.339  33      0.068    0.408
10240.0 10240.0  0.0    0.0   81920.0  73282.7   102400.0   62492.5   4864.0 3996.5 512.0  446.8      71    0.343  33      0.068    0.411
10240.0 10240.0  0.0    0.0   81920.0  10240.0   102400.0   31772.5   4864.0 3996.5 512.0  446.8      73    0.355  35      0.070    0.425
10240.0 10240.0  0.0    0.0   81920.0  22082.6   102400.0   52252.5   4864.0 3996.5 512.0  446.8      74    0.358  36      0.070    0.428
10240.0 10240.0  0.0    0.0   81920.0  32322.6   102400.0   62492.5   4864.0 3996.5 512.0  446.8      75    0.362  36      0.070    0.432
10240.0 10240.0  0.0    0.0   81920.0  42562.6   102400.0   31772.5   4864.0 3996.5 512.0  446.8      76    0.362  37      0.073    0.435
10240.0 10240.0  0.0    0.0   81920.0  52802.6   102400.0   42012.5   4864.0 3996.5 512.0  446.8      77    0.364  37      0.073    0.437
